,id,imdb_id,original_title,title,genres,budget,revenue,release_date,runtime,vote_average,vote_count,genre_term_1,genre_term_2,genre_term_3,genre_term_4,genre_term_5,genre_term_6,genre_term_7,genre_term_8,genre_term_9,budget_adjusted_to_2020,revenue_adjusted_to_2020
840,9303,tt0115736,Bound,Bound,"Crime,Drama,Romance,Thriller",4500000.0,7011317.0,1996-09-13,108.0,6.9,203.0,Crime,Drama,Romance,Thriller,,,,,,7415550.0,11553949.28
853,11015,tt0120004,The Relic,The Relic,"Horror,Mystery,Thriller",60000000.0,33956608.0,1997-01-10,110.0,5.8,130.0,Horror,Mystery,Thriller,,,,,,,96714000.0,54734656.44
854,9306,tt0116654,The Island of Dr. Moreau,The Island of Dr. Moreau,"Fantasy,Horror,Science,Fiction",40000000.0,49627779.0,1996-08-23,96.0,4.6,148.0,Fantasy,Horror,Science,Fiction,,,,,,65916000.0,81781617.01
859,10723,tt0115783,Bulletproof,Bulletproof,"Action,Adventure,Comedy,Thriller",25000000.0,22611954.0,1996-09-06,84.0,5.4,164.0,Action,Adventure,Comedy,Thriller,,,,,,41197500.0,37262239.0
864,10987,tt0113253,Halloween: The Curse of Michael Myers,Halloween: The Curse of Michael Myers,"Horror,Thriller",5000000.0,15116634.0,1995-09-29,88.0,5.0,173.0,Horror,Thriller,,,,,,,,8483000.0,25646881.24
872,872,tt0045152,Singin' in the Rain,Singin' in the Rain,"Comedy,Music,Romance",2540800.0,7200000.0,1952-04-10,103.0,7.9,747.0,Comedy,Music,Romance,,,,,,,24752727.68,70143120.0
873,2769,tt0043278,An American in Paris,An American in Paris,"Drama,Comedy,Music,Romance",2723903.0,4500000.0,1951-08-08,113.0,6.9,133.0,Drama,Comedy,Music,Romance,,,,,,27046994.84,44682750.0
875,164,tt0054698,Breakfast at Tiffany's,Breakfast at Tiffany's,"Comedy,Drama,Romance",2500000.0,9500000.0,1961-10-05,110.0,7.6,1082.0,Comedy,Drama,Romance,,,,,,,21634000.0,82209200.0
876,426,tt0052357,Vertigo,Vertigo,"Mystery,Romance,Thriller",2479000.0,28000000.0,1958-05-09,128.0,8.0,1162.0,Mystery,Romance,Thriller,,,,,,,22196470.2,250706400.0
877,567,tt0047396,Rear Window,Rear Window,"Drama,Mystery,Thriller",1000000.0,36764313.0,1954-08-01,112.0,8.2,1531.0,Drama,Mystery,Thriller,,,,,,,9621100.0,353713131.8
878,3078,tt0025316,It Happened One Night,It Happened One Night,"Comedy,Romance",325000.0,4500000.0,1934-02-22,105.0,7.7,283.0,Comedy,Romance,,,,,,,,6292812.5,87131250.0
881,213,tt0053125,North by Northwest,North by Northwest,"Mystery,Thriller",4000000.0,13275000.0,1959-07-07,136.0,7.8,1062.0,Mystery,Thriller,,,,,,,,35609200.0,118178032.5
882,284,tt0053604,The Apartment,The Apartment,"Comedy,Drama,Romance",3000000.0,25000000.0,1960-06-15,125.0,8.1,498.0,Comedy,Drama,Romance,,,,,,,26254200.0,218785000.0
883,239,tt0053291,Some Like It Hot,Some Like It Hot,"Comedy,Romance",2883848.0,25000000.0,1959-03-18,122.0,8.0,835.0,Comedy,Romance,,,,,,,,25672880.05,222557500.0
884,4808,tt0056923,Charade,Charade,"Comedy,Mystery,Romance,Thriller",4000000.0,13474588.0,1963-12-05,113.0,7.7,351.0,Comedy,Mystery,Romance,Thriller,,,,,,33858000.0,114055650.13
885,289,tt0034583,Casablanca,Casablanca,"Drama,Romance",878000.0,10462500.0,1942-11-26,102.0,7.9,1462.0,Drama,Romance,,,,,,,,13877755.8,165371321.25
886,963,tt0033870,The Maltese Falcon,The Maltese Falcon,"Mystery,Crime,Thriller",375000.0,1000000.0,1941-11-18,100.0,7.8,435.0,Mystery,Crime,Thriller,,,,,,,6600862.5,17602300.0
887,11113,tt0058385,My Fair Lady,My Fair Lady,"Drama,Family,Music,Romance",17000000.0,72070731.0,1964-10-21,170.0,7.4,361.0,Drama,Family,Music,Romance,,,,,,141576000.0,600205047.77
888,6620,tt0047437,Sabrina,Sabrina,"Comedy,Drama,Romance",2238813.0,10000000.0,1954-09-28,113.0,7.4,284.0,Comedy,Drama,Romance,,,,,,,21539843.75,96211000.0
889,804,tt0046250,Roman Holiday,Roman Holiday,"Comedy,Romance",1500000.0,12000000.0,1953-09-02,119.0,7.8,502.0,Comedy,Romance,,,,,,,,14521800.0,116174400.0
892,630,tt0032138,The Wizard of Oz,The Wizard of Oz,"Adventure,Family,Fantasy",2777000.0,33754967.0,1939-08-15,102.0,7.4,1689.0,Adventure,Family,Fantasy,,,,,,,51826317.9,629958822.63
893,770,tt0031381,Gone with the Wind,Gone with the Wind,"Drama,Romance,War",4000000.0,400176459.0,1939-12-15,238.0,7.7,995.0,Drama,Romance,War,,,,,,,74650800.0,7468373201.38
895,599,tt0043014,Sunset Boulevard,Sunset Boulevard,Drama,1752000.0,5000000.0,1950-08-10,110.0,8.2,533.0,Drama,,,,,,,,,18846088.8,53784500.0
896,15,tt0033467,Citizen Kane,Citizen Kane,"Mystery,Drama",839727.0,23217674.0,1941-04-30,119.0,8.0,1244.0,Mystery,Drama,,,,,,,,14781126.57,408684463.05
897,62,tt0062622,2001: A Space Odyssey,2001: A Space Odyssey,"Science,Fiction,Mystery,Adventure",10500000.0,68700000.0,1968-04-10,149.0,7.9,3075.0,Science,Fiction,Mystery,Adventure,,,,,,78194550.0,511615770.0
899,705,tt0042192,All About Eve,All About Eve,Drama,1400000.0,63463.0,1950-11-09,138.0,8.0,367.0,Drama,,,,,,,,,15059660.0,682665.14
900,22490,tt0032143,The Women,The Women,"Comedy,Drama",1688000.0,2270000.0,1939-01-01,133.0,6.4,26.0,Comedy,Drama,,,,,,,,31502637.6,42364329.0
901,223,tt0032976,Rebecca,Rebecca,"Drama,Mystery",1288000.0,6000000.0,1940-04-12,130.0,7.7,346.0,Drama,Mystery,,,,,,,,23751364.0,110643000.0
903,303,tt0038787,Notorious,Notorious,"Thriller,Drama,Romance",2000000.0,24464742.0,1946-08-15,102.0,7.8,345.0,Thriller,Drama,Romance,,,,,,,26478600.0,323896058.76
904,4174,tt0038109,Spellbound,Spellbound,"Drama,Mystery,Thriller",1500000.0,7000000.0,1945-12-28,111.0,7.3,166.0,Drama,Mystery,Thriller,,,,,,,21513900.0,100398200.0
906,381,tt0048728,To Catch a Thief,To Catch a Thief,"Crime,Drama,Mystery,Romance,Thriller",2500000.0,8750000.0,1955-08-03,106.0,7.1,299.0,Crime,Drama,Mystery,Romance,Thriller,,,,,24203000.0,84710500.0
909,1859,tt0031725,Ninotchka,Ninotchka,"Comedy,Romance",1365000.0,2279000.0,1939-10-06,110.0,7.3,77.0,Comedy,Romance,,,,,,,,25474585.5,42532293.3
913,10907,tt0029843,The Adventures of Robin Hood,The Adventures of Robin Hood,"Action,Adventure,Romance",2033000.0,3981000.0,1938-05-13,102.0,7.6,170.0,Action,Adventure,Romance,,,,,,,37489536.5,73411630.5
915,1939,tt0037008,Laura,Laura,"Drama,Mystery",1020000.0,2000000.0,1944-10-11,88.0,7.6,173.0,Drama,Mystery,,,,,,,,15047448.0,29504800.0
918,3080,tt0027125,Top Hat,Top Hat,"Comedy,Music,Romance",609000.0,3202000.0,1935-09-06,101.0,7.4,62.0,Comedy,Music,Romance,,,,,,,11504131.8,60486420.4
921,1712,tt0049261,Giant,Giant,"Action,Drama,Western",5400000.0,35000000.0,1956-10-10,201.0,7.5,169.0,Action,Drama,Western,,,,,,,51316740.0,332608500.0
922,220,tt0048028,East of Eden,East of Eden,Drama,1.0,5.0,1955-03-09,115.0,7.5,163.0,Drama,,,,,,,,,9.68,48.41
923,3529,tt0025878,The Thin Man,The Thin Man,"Comedy,Crime,Mystery",226408.0,1423000.0,1934-05-25,93.0,7.4,97.0,Comedy,Crime,Mystery,,,,,,,4383824.9,27552837.5
925,2897,tt0048960,Around the World in Eighty Days,Around the World in Eighty Days,"Adventure,Comedy,Family,Fantasy,Romance",6000000.0,42000000.0,1956-10-17,167.0,6.5,85.0,Adventure,Comedy,Family,Fantasy,Romance,,,,,57018600.0,399130200.0
926,1585,tt0038650,It's a Wonderful Life,It's a Wonderful Life,"Drama,Family,Fantasy",3180000.0,9644124.0,1946-12-20,130.0,8.0,1103.0,Drama,Family,Fantasy,,,,,,,42100974.0,127681450.87
927,3083,tt0031679,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,"Comedy,Drama",1500000.0,9600000.0,1939-10-19,129.0,7.9,245.0,Comedy,Drama,,,,,,,,27994050.0,179161920.0
941,10331,tt0063350,Night of the Living Dead,Night of the Living Dead,Horror,114000.0,30000000.0,1968-10-01,96.0,7.5,591.0,Horror,,,,,,,,,848969.4,223413000.0
942,488,tt0043265,The African Queen,The African Queen,"Adventure,War,Romance",1300000.0,10750000.0,1951-12-03,105.0,7.4,232.0,Adventure,War,Romance,,,,,,,12908350.0,106742125.0
944,261,tt0051459,Cat on a Hot Tin Roof,Cat on a Hot Tin Roof,"Drama,Romance",3000000.0,17570324.0,1958-02-17,108.0,7.6,168.0,Drama,Romance,,,,,,,,26861400.0,157321167.03
949,22649,tt0022879,A Farewell to Arms,A Farewell to Arms,"Drama,Romance,War",4.0,25.0,1932-12-08,89.0,6.2,29.0,Drama,Romance,War,,,,,,,75.56,472.25
962,10861,tt0117011,Maximum Risk,Maximum Risk,"Action,Adventure,Thriller",25000000.0,51702483.0,1996-09-13,100.0,5.3,104.0,Action,Adventure,Thriller,,,,,,,41197500.0,85200521.74
963,1770,tt0117039,Michael Collins,Michael Collins,"Drama,Thriller",28000000.0,16900000.0,1996-10-25,132.0,6.8,98.0,Drama,Thriller,,,,,,,,46141200.0,27849510.0
967,9333,tt0116830,Last Man Standing,Last Man Standing,"Action,Crime,Drama,Thriller",67000000.0,47267001.0,1996-09-20,101.0,6.2,263.0,Action,Crime,Drama,Thriller,,,,,,110409300.0,77891290.95
969,9400,tt0117603,Set It Off,Set It Off,"Drama,Action,Crime",9000000.0,41590886.0,1996-11-06,118.0,6.9,66.0,Drama,Action,Crime,,,,,,,14831100.0,68537621.04
971,12241,tt0115994,Curdled,Curdled,"Comedy,Crime,Thriller",2300000.0,49620.0,1996-09-06,88.0,6.2,29.0,Comedy,Crime,Thriller,,,,,,,3790170.0,81768.8
974,11306,tt0116259,Extreme Measures,Extreme Measures,"Drama,Thriller",38000000.0,17380126.0,1996-09-27,118.0,5.7,80.0,Drama,Thriller,,,,,,,,62620200.0,28640709.64
977,6346,tt0115862,The Chamber,The Chamber,"Crime,Drama",50000000.0,22540359.0,1996-10-11,113.0,5.9,62.0,Crime,Drama,,,,,,,,82395000.0,37144257.6
990,173,tt0046672,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea","Adventure,Drama,Science,Fiction",5000000.0,28200000.0,1954-12-23,127.0,6.9,160.0,Adventure,Drama,Science,Fiction,,,,,,48105500.0,271315020.0
991,864,tt0106611,Cool Runnings,Cool Runnings,Comedy,14000000.0,154864401.0,1993-09-30,98.0,6.8,510.0,Comedy,,,,,,,,,25071200.0,277331169.31
993,11224,tt0042332,Cinderella,Cinderella,"Family,Fantasy,Animation,Romance",2900000.0,263591415.0,1950-03-04,74.0,6.8,1760.0,Family,Fantasy,Animation,Romance,,,,,,31195010.0,2835426492.01
996,9078,tt0057546,The Sword in the Stone,The Sword in the Stone,"Animation,Family",3000000.0,22182353.0,1963-12-25,79.0,6.9,935.0,Animation,Family,,,,,,,,25393500.0,187762526.97
998,8367,tt0102798,Robin Hood: Prince of Thieves,Robin Hood: Prince of Thieves,Adventure,48000000.0,390493908.0,1991-06-14,143.0,6.6,937.0,Adventure,,,,,,,,,91118400.0,741274585.56
999,433,tt0058331,Mary Poppins,Mary Poppins,"Comedy,Family,Fantasy",6000000.0,102272727.0,1964-08-27,139.0,7.4,1217.0,Comedy,Family,Fantasy,,,,,,,49968000.0,851727270.46
1000,11360,tt0033563,Dumbo,Dumbo,"Animation,Family",812000.0,1600000.0,1941-10-22,64.0,6.8,1206.0,Animation,Family,,,,,,,,14293067.6,28163680.0
1002,12335,tt0066817,Bedknobs and Broomsticks,Bedknobs and Broomsticks,"Adventure,Fantasy,Animation,Comedy,Family,Music",20000000.0,17900000.0,1971-10-07,117.0,6.8,260.0,Adventure,Fantasy,Animation,Comedy,Family,Music,,,,127490000.0,114103550.0
1003,12092,tt0043274,Alice in Wonderland,Alice in Wonderland,"Animation,Adventure,Family,Fantasy",3000000.0,572000000.0,1951-07-03,75.0,7.0,1557.0,Animation,Adventure,Family,Fantasy,,,,,,29788500.0,5679674000.0
1004,10948,tt0082406,The Fox and the Hound,The Fox and the Hound,"Adventure,Animation,Drama,Family",12000000.0,29800000.0,1981-07-10,82.0,7.0,884.0,Adventure,Animation,Drama,Family,,,,,,34168800.0,84852520.0
1006,15121,tt0059742,The Sound of Music,The Sound of Music,"Drama,Family,Music,Romance",8200000.0,286214286.0,1965-03-02,174.0,7.4,966.0,Drama,Family,Music,Romance,,,,,,67205560.0,2345755045.2
1007,562,tt0095016,Die Hard,Die Hard,"Action,Thriller",28000000.0,140767956.0,1988-07-15,131.0,7.5,4005.0,Action,Thriller,,,,,,,,61261200.0,307986210.93
1008,10163,tt0104692,The Lawnmower Man,The Lawnmower Man,"Horror,Thriller,Science,Fiction",10000000.0,32101000.0,1992-03-05,108.0,5.4,198.0,Horror,Thriller,Science,Fiction,,,,,,18440000.0,59194244.0
1012,11159,tt0117589,Secrets & Lies,Secrets & Lies,Drama,4500000.0,13417292.0,1996-05-24,142.0,7.1,127.0,Drama,,,,,,,,,7415550.0,22110355.49
1015,41843,tt0117791,Surviving Picasso,Surviving Picasso,"Drama,Romance",16000000.0,1985001.0,1996-09-04,125.0,5.3,21.0,Drama,Romance,,,,,,,,26366400.0,3271083.15
1018,11412,tt0116908,The Long Kiss Goodnight,The Long Kiss Goodnight,"Crime,Action,Mystery,Thriller",65000000.0,89456761.0,1996-10-11,120.0,6.4,323.0,Crime,Action,Mystery,Thriller,,,,,,107113500.0,147415796.45
1019,10586,tt0116409,The Ghost and the Darkness,The Ghost and the Darkness,Adventure,50000000.0,75000000.0,1996-10-11,109.0,6.4,238.0,Adventure,,,,,,,,,82395000.0,123592500.0
1024,49471,tt0116404,Get on the Bus,Get on the Bus,Drama,2400000.0,5731103.0,1996-10-16,120.0,7.0,11.0,Drama,,,,,,,,,3954960.0,9444284.63
1025,38153,tt0120107,Shadow Conspiracy,Shadow Conspiracy,"Action,Thriller",45000000.0,2154540.0,1997-01-31,103.0,4.0,12.0,Action,Thriller,,,,,,,,72535500.0,3472903.03
1026,25147,tt0116722,Jude,Jude,"Drama,Romance",7000000.0,405000.0,1996-02-06,123.0,6.6,38.0,Drama,Romance,,,,,,,,11535300.0,667399.5
1029,454,tt0117509,Romeo + Juliet,Romeo + Juliet,"Drama,Romance",14500000.0,147298761.0,1996-10-31,120.0,6.7,1406.0,Drama,Romance,,,,,,,,23894550.0,242733628.25
1030,10218,tt0117802,Swingers,Swingers,"Comedy,Romance",200000.0,4505922.0,1996-10-18,94.0,6.8,255.0,Comedy,Romance,,,,,,,,329580.0,7425308.86
1031,819,tt0117665,Sleepers,Sleepers,"Crime,Drama,Thriller",44000000.0,165615285.0,1996-10-18,147.0,7.3,729.0,Crime,Drama,Thriller,,,,,,,72507600.0,272917428.15
1042,252,tt0067992,Willy Wonka & the Chocolate Factory,Willy Wonka & the Chocolate Factory,"Family,Fantasy",3000000.0,4000000.0,1971-06-29,100.0,7.4,826.0,Family,Fantasy,,,,,,,,19123500.0,25498000.0
1045,11561,tt0070707,Sleeper,Sleeper,"Comedy,Romance,Science,Fiction",2000000.0,18344729.0,1973-12-17,89.0,7.0,206.0,Comedy,Romance,Science,Fiction,,,,,,11646600.0,106826860.39
1046,11302,tt0066808,Bananas,Bananas,Comedy,2000000.0,11833696.0,1971-04-28,82.0,6.7,167.0,Comedy,,,,,,,,,12749000.0,75433895.15
1047,623,tt0095159,A Fish Called Wanda,A Fish Called Wanda,"Comedy,Crime",7500000.0,62493712.0,1988-07-15,108.0,7.1,576.0,Comedy,Crime,,,,,,,,16409250.0,136729992.48
1048,583,tt0079470,Life of Brian,Life of Brian,Comedy,4000000.0,20045115.0,1979-08-17,94.0,7.7,1230.0,Comedy,,,,,,,,,14243600.0,71378650.0
1051,11575,tt0059243,The Great Race,The Great Race,"Adventure,Comedy",12000000.0,25333333.0,1965-07-01,160.0,7.2,64.0,Adventure,Comedy,,,,,,,,98349600.0,207626930.6
1052,475,tt0061418,Bonnie and Clyde,Bonnie and Clyde,"Crime,Drama",2500000.0,50700000.0,1967-07-18,111.0,7.6,384.0,Crime,Drama,,,,,,,,19362500.0,392671500.0
1054,521,tt0046912,Dial M for Murder,Dial M for Murder,"Crime,Mystery,Thriller",1400000.0,3000000.0,1954-05-29,104.0,7.9,539.0,Crime,Mystery,Thriller,,,,,,,13469540.0,28863300.0
1056,88,tt0092890,Dirty Dancing,Dirty Dancing,"Drama,Music,Romance",6000000.0,213954274.0,1987-08-21,100.0,7.1,1371.0,Drama,Music,Romance,,,,,,,13667400.0,487366440.74
1057,500,tt0105236,Reservoir Dogs,Reservoir Dogs,"Crime,Thriller",1200000.0,14661007.0,1992-09-02,99.0,8.1,3821.0,Crime,Thriller,,,,,,,,2212800.0,27034896.91
1058,792,tt0091763,Platoon,Platoon,"Drama,War,Action",6000000.0,138530565.0,1986-12-18,120.0,7.5,1236.0,Drama,War,Action,,,,,,,14167800.0,327112223.13
1059,8491,tt0098627,Weekend at Bernie's,Weekend at Bernie's,Comedy,6500000.0,30218387.0,1989-07-05,97.0,6.4,255.0,Comedy,,,,,,,,,13551200.0,62999293.22
1060,402,tt0103772,Basic Instinct,Basic Instinct,"Thriller,Mystery",49000000.0,352927224.0,1992-03-20,127.0,6.5,869.0,Thriller,Mystery,,,,,,,,90356000.0,650797801.06
1061,10537,tt0101761,The Doors,The Doors,"Drama,Music",38000000.0,34416893.0,1991-03-01,140.0,6.7,285.0,Drama,Music,,,,,,,,72135400.0,65333587.98
1062,11386,tt0104036,The Crying Game,The Crying Game,"Romance,Crime,Drama,Thriller",3705538.0,62548947.0,1992-09-02,112.0,6.9,180.0,Romance,Crime,Drama,Thriller,,,,,,6833012.07,115340258.27
1063,9504,tt0104348,Glengarry Glen Ross,Glengarry Glen Ross,"Crime,Drama,Mystery",12500000.0,10725228.0,1992-09-15,100.0,7.5,330.0,Crime,Drama,Mystery,,,,,,,23050000.0,19777320.43
1064,15764,tt0084707,Sophie's Choice,Sophie's Choice,"Drama,Romance",12000000.0,30036000.0,1982-12-08,151.0,7.4,149.0,Drama,Romance,,,,,,,,32158800.0,80493476.4
1065,601,tt0083866,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,"Science,Fiction,Adventure,Family,Fantasy",10500000.0,792965326.0,1982-04-03,115.0,7.3,3359.0,Science,Fiction,Adventure,Family,Fantasy,,,,,28138950.0,2125067777.15
1068,2119,tt0099371,Days of Thunder,Days of Thunder,Adventure,60000000.0,157920733.0,1990-06-27,107.0,5.9,359.0,Adventure,,,,,,,,,118698000.0,312414586.09
1069,744,tt0092099,Top Gun,Top Gun,"Action,Romance,War",15000000.0,356830601.0,1986-05-16,110.0,6.7,1736.0,Action,Romance,War,,,,,,,35419500.0,842584098.14
1072,702,tt0044081,A Streetcar Named Desire,A Streetcar Named Desire,Drama,1800000.0,8000000.0,1951-09-18,125.0,7.6,291.0,Drama,,,,,,,,,17873100.0,79436000.0
1080,21612,tt0116378,The Funeral,The Funeral,"Crime,Drama",12500000.0,1227324.0,1996-01-26,99.0,7.3,31.0,Crime,Drama,,,,,,,,20598750.0,2022507.22
1086,1630,tt0117318,The People vs. Larry Flynt,The People vs. Larry Flynt,Drama,36000000.0,20300385.0,1996-10-12,129.0,6.8,257.0,Drama,,,,,,,,,59324400.0,33453004.44
1090,11843,tt0072081,The Return of the Pink Panther,The Return of the Pink Panther,"Mystery,Comedy,Crime",5000000.0,41833347.0,1975-05-21,113.0,6.7,138.0,Mystery,Comedy,Crime,,,,,,,24053000.0,201243499.08
1091,10379,tt0101775,Drop Dead Fred,Drop Dead Fred,"Comedy,Fantasy,Family",6788000.0,13878334.0,1991-04-19,103.0,5.9,107.0,Comedy,Fantasy,Family,,,,,,,12885660.4,26345241.43
1092,2756,tt0096754,The Abyss,The Abyss,"Adventure,Action,Thriller,Science,Fiction",70000000.0,90000098.0,1989-08-09,139.0,7.1,822.0,Adventure,Action,Thriller,Science,Fiction,,,,,145936000.0,187632204.31
1093,790,tt0080749,The Fog,The Fog,Horror,1000000.0,21378361.0,1980-02-08,89.0,6.4,318.0,Horror,,,,,,,,,3142000.0,67170810.26
1094,1103,tt0082340,Escape from New York,Escape from New York,"Science,Fiction,Action",6000000.0,50244700.0,1981-05-22,99.0,6.9,720.0,Science,Fiction,Action,,,,,,,17084400.0,143066758.78
1095,11298,tt0082533,The Howling,The Howling,"Drama,Horror",1000000.0,17985893.0,1981-04-03,91.0,6.4,165.0,Drama,Horror,,,,,,,,2847400.0,51213031.73
1100,762,tt0071853,Monty Python and the Holy Grail,Monty Python and the Holy Grail,"Adventure,Comedy,Fantasy",400000.0,5028948.0,1975-03-13,91.0,7.8,1742.0,Adventure,Comedy,Fantasy,,,,,,,1924240.0,24192257.25
1128,49763,tt0115610,Bad Moon,Bad Moon,Horror,7000000.0,1100000.0,1996-11-01,80.0,5.7,33.0,Horror,,,,,,,,,11535300.0,1812690.0
1135,892,tt0101700,Delicatessen,Delicatessen,"Comedy,Science,Fiction,Fantasy",4000000.0,1794187.0,1991-04-17,99.0,7.4,320.0,Comedy,Science,Fiction,Fantasy,,,,,,7593200.0,3405905.18
1142,409,tt0116209,The English Patient,The English Patient,"Drama,Romance,War",27000000.0,231976425.0,1996-11-14,162.0,7.0,559.0,Drama,Romance,War,,,,,,,44493300.0,382273950.76
1144,10161,tt0097937,My Left Foot: The Story of Christy Brown,My Left Foot: The Story of Christy Brown,Drama,645180.0,14743391.0,1989-07-21,103.0,7.5,208.0,Drama,,,,,,,,,1345071.26,30737021.56
1147,10409,tt0105488,Strictly Ballroom,Strictly Ballroom,"Comedy,Drama,Romance",3000000.0,33946224.0,1992-08-20,94.0,6.2,83.0,Comedy,Drama,Romance,,,,,,,5532000.0,62596837.06
1150,10174,tt0102370,Madonna: Truth or Dare,Madonna: Truth or Dare,"Documentary,Music",4.0,29.0,1991-05-10,119.0,6.3,32.0,Documentary,Music,,,,,,,,7.59,55.05
1151,31225,tt0100332,Paris is Burning,Paris is Burning,Documentary,500000.0,3779620.0,1990-03-13,71.0,8.2,67.0,Documentary,,,,,,,,,989150.0,7477222.25
1152,510,tt0073486,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,Drama,3000000.0,108981275.0,1975-11-18,133.0,8.3,3001.0,Drama,,,,,,,,,14431800.0,524265321.51
1154,1891,tt0080684,The Empire Strikes Back,The Empire Strikes Back,"Adventure,Action,Science,Fiction",18000000.0,538400000.0,1980-05-17,124.0,8.2,5998.0,Adventure,Action,Science,Fiction,,,,,,56556000.0,1691652800.0
1155,2493,tt0093779,The Princess Bride,The Princess Bride,"Adventure,Family,Fantasy,Comedy,Romance",16000000.0,30857814.0,1987-09-18,98.0,7.6,1518.0,Adventure,Family,Fantasy,Comedy,Romance,,,,,36446400.0,70291014.51
1156,85,tt0082971,Raiders of the Lost Ark,Raiders of the Lost Ark,"Adventure,Action",18000000.0,389925971.0,1981-06-12,115.0,7.7,3949.0,Adventure,Action,,,,,,,,51253200.0,1110275209.83
1158,679,tt0090605,Aliens,Aliens,"Horror,Action,Thriller,Science,Fiction",18500000.0,183316455.0,1986-07-18,137.0,7.7,3282.0,Horror,Action,Thriller,Science,Fiction,,,,,43684050.0,432865145.19
1159,429,tt0060196,"Il buono, il brutto, il cattivo","The Good, the Bad and the Ugly",Western,1200000.0,6000000.0,1966-12-23,161.0,8.1,2371.0,Western,,,,,,,,,9581400.0,47907000.0
1161,389,tt0050083,12 Angry Men,12 Angry Men,Drama,350000.0,1000000.0,1957-03-25,96.0,8.2,2130.0,Drama,,,,,,,,,3227070.0,9220200.0
1162,947,tt0056172,Lawrence of Arabia,Lawrence of Arabia,"Adventure,Drama,History,War",15000000.0,69995385.0,1962-12-10,216.0,7.8,870.0,Adventure,Drama,History,War,,,,,,128370000.0,599020504.83
1163,185,tt0066921,A Clockwork Orange,A Clockwork Orange,"Science,Fiction,Drama",2200000.0,26589000.0,1971-12-18,136.0,8.0,3432.0,Science,Fiction,Drama,,,,,,,14023900.0,169491580.5
1164,595,tt0056592,To Kill a Mockingbird,To Kill a Mockingbird,"Crime,Drama",2000000.0,13129846.0,1962-12-25,129.0,7.9,676.0,Crime,Drama,,,,,,,,17116000.0,112365222.07
1165,28,tt0078788,Apocalypse Now,Apocalypse Now,"Drama,War",31500000.0,89460381.0,1979-08-15,153.0,8.0,2112.0,Drama,War,,,,,,,,112168350.0,318559470.7
1166,335,tt0064116,C'era una volta il West,Once Upon a Time in the West,Western,5000000.0,5321508.0,1968-12-21,175.0,8.1,1160.0,Western,,,,,,,,,37235500.0,39629802.23
1167,1892,tt0086190,Return of the Jedi,Return of the Jedi,"Adventure,Action,Science,Fiction",32350000.0,572700000.0,1983-05-23,135.0,7.9,4763.0,Adventure,Action,Science,Fiction,,,,,,84077650.0,1488447300.0
1168,144,tt0093191,Der Himmel über Berlin,Wings of Desire,"Drama,Fantasy,Romance",2500000.0,3200000.0,1987-01-01,128.0,7.5,256.0,Drama,Fantasy,Romance,,,,,,,5694750.0,7289280.0
1170,769,tt0099685,GoodFellas,GoodFellas,"Drama,Crime",25000000.0,46836394.0,1990-09-12,145.0,8.2,3211.0,Drama,Crime,,,,,,,,49457500.0,92656438.25
1171,348,tt0078748,Alien,Alien,"Horror,Action,Thriller,Science,Fiction",11000000.0,104931801.0,1979-05-25,117.0,7.9,4564.0,Horror,Action,Thriller,Science,Fiction,,,,,39169900.0,373651650.18
1174,11645,tt0089881,乱,Ran,"Action,Drama,History",11500000.0,4069653.0,1985-06-01,162.0,7.9,349.0,Action,Drama,History,,,,,,,27660950.0,9788736.36
1176,539,tt0054215,Psycho,Psycho,"Drama,Horror,Thriller",806948.0,32000000.0,1960-06-16,109.0,8.3,2405.0,Drama,Horror,Thriller,,,,,,,7061924.73,280044800.0
1177,525,tt0080455,The Blues Brothers,The Blues Brothers,"Music,Comedy,Action,Crime",27000000.0,115229890.0,1980-06-17,133.0,7.5,1092.0,Music,Comedy,Action,Crime,,,,,,84834000.0,362052314.38
1178,240,tt0071562,The Godfather: Part II,The Godfather: Part II,"Drama,Crime",13000000.0,47542841.0,1974-12-20,200.0,8.3,3418.0,Drama,Crime,,,,,,,,68260400.0,249637949.52
1179,600,tt0093058,Full Metal Jacket,Full Metal Jacket,"Drama,War",17000000.0,46357676.0,1987-06-26,116.0,7.9,2595.0,Drama,War,,,,,,,,38724300.0,105598150.16
1182,279,tt0086879,Amadeus,Amadeus,"Drama,History,Music",18000000.0,51973029.0,1984-10-26,160.0,7.8,1107.0,Drama,History,Music,,,,,,,44827200.0,129433631.42
1185,1578,tt0081398,Raging Bull,Raging Bull,Drama,18000000.0,23000000.0,1980-11-14,129.0,7.7,968.0,Drama,,,,,,,,,56556000.0,72266000.0
1186,703,tt0075686,Annie Hall,Annie Hall,"Comedy,Drama,Romance",4000000.0,38251425.0,1977-04-19,93.0,7.8,1044.0,Comedy,Drama,Romance,,,,,,,17068800.0,163226480.76
1187,9549,tt0086197,The Right Stuff,The Right Stuff,"Drama,History",27000000.0,21500000.0,1983-10-20,193.0,7.4,241.0,Drama,History,,,,,,,,70173000.0,55878500.0
